,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
7007,Schoko Nikolaus - Lindt&Sprünli - 70,21,e,2294.0,20.0,55.0,7.2,7.4,0.2
7008,Humus Schwarzkümmel - Perla Deutschland mbH - 180 ,-2,a,1191.0,2.0,1.0,7.3,8.9,0.91
7009,Knuspermüsli - UT & ÜNSTI - 600 ,-1,a,1824.0,1.3,12.8,7.3,11.9,0.43
7010,Veetarische Klösschen - arden ourmet - 200 ,-1,a,836.0,1.1,2.0,7.3,22.0,1.4
7011,Knuspermüsli - UT & ÜNSTI - 600 ,-1,a,1824.0,1.3,12.8,7.3,11.9,0.43
7012,Knusper-Müsli Mano - Bio - 500 ,-1,a,1766.0,1.4,16.2,7.3,10.0,0.09
7013,Super Musli 52% fruits et raines - rillon d'Or - 1 k,-1,a,1724.0,1.7,20.0,7.3,12.0,0.1
7014,Meisterbäckers Classic - schar - 1,0,b,1009.0,0.7,3.3,7.3,3.5,1.0
7015,"Aprikosen etrocknet, uneschwefelt - Minderleinsmühle - 250 ",1,b,1199.0,0.1,56.7,7.3,3.4,0.03
7016,Mélane de noix et pistaches - Alesto - 200,3,c,2602.0,6.6,6.2,7.3,23.0,0.95
7017,Müsli Schoko - Master Crumble - 750 ,8,c,1732.0,5.4,17.9,7.3,11.1,0.09
7018,Bananenchips - Reformhaus - 175,5,c,2121.0,23.2,2.3,7.3,2.7,0.01
7019,CROWNI -NOISETTE- - Crownfield - 150  (6x25 ),6,c,1607.0,4.0,1.0,7.3,8.4,0.98
7020,Knusper Müsli klassisch - Vitalis - 600 ,9,c,946.0,6.3,20.0,7.3,10.0,0.55
7021,Datteln entsteint - dm Bio - 200,3,c,1382.0,0.1,70.0,7.3,2.1,0.03
7022,Vitalis Knusper Müsli Schoko feinherb - 600 ,8,c,1961.0,3.9,22.0,7.3,9.4,0.24
7023,Datteln Entsteint - Vean - 200 ,3,c,1364.0,0.1,70.0,7.3,2.1,0.03
7024,ulasch - Mai,10,c,943.0,0.7,15.2,7.3,10.4,11.9
7025,"Activ Knusper-Müsli (Himbeer Johurt, Schoko, Pur) - letscherkrone - 400 ",11,d,1912.0,6.5,18.0,7.3,11.0,0.47
7026,Oriinal Jahrmarktsmandeln - Fischer - 125,12,d,2026.0,1.9,49.3,7.3,9.5,0.05
7027,"Mischun von Nusskernen, etrockeneten Früchten und Bananenchips - Kaufland - 200 ",16,d,1866.0,8.4,43.0,7.3,4.7,0.03
7028,Vollkorn Butterkeks - Alnatura - 150 ,14,d,1900.0,11.0,21.0,7.3,8.0,0.09
7029,Scho-Ka-Kola Vollmilch - Scho-Ka-Kola mbH - 100,21,e,2302.0,21.8,50.7,7.3,6.2,0.13
7030,Dark chocolate with orane - Coop - 100 ,20,e,2259.0,21.0,45.0,7.3,6.6,0.03
7031,Nouat Mandeln - Alnatura - 100 ,19,e,2431.0,12.8,35.0,7.3,11.0,0.08
7032,Apfel-Honi Frucht Schnitte - Edeka - 90 ,7,c,1510.0,0.667,44.3,7.33,6.0,0.1
7033,Knusper Müsli Dinkel - Edeka Bio - 500,-2,a,1661.0,0.9,21.0,7.4,10.0,0.1
7034,Bio Mandelmus braun - KoRo - 250 ,-2,a,2644.0,5.2,4.6,7.4,27.0,0.0
7035,Feinste Nusskern-Mischun unesalzen - Clarkys - 200 ,-1,a,2655.0,6.1,5.3,7.4,18.0,0.02
7036,Mix de frutos secos al natural - Alesto - 200,-1,a,2583.0,6.5,5.0,7.4,18.0,0.01
7037,Himbeeren - Edeka Bio - 300,-9,a,206.0,0.1,6.0,7.4,1.0,0.0
7038,Knusper Dinkel Müsli - BioBio - 500,-2,a,1661.0,0.9,21.0,7.4,10.0,0.1
7039,Mixed Nuts - Alesto - 500,-1,a,2583.0,6.5,5.0,7.4,18.0,0.0
7040,"Marinierte, etrocknete Tomaten in Rapsöl - Cuarenta - 180  (Inhalt 280 )",-1,a,728.0,0.8,5.1,7.4,3.7,1.9
7041,rafschafter Bio Roenmisch Toastbrötchen -  - 65 ,-1,a,1015.0,0.2,4.0,7.4,6.6,1.31
7042,Weiße Bohnen - Bio usti - 400,-8,a,382.0,0.1,0.7,7.4,7.1,0.03
7043,Panini Rolls luten-free WHEAT-FREE LACTOSE-FREE - Schar - 225,1,b,1019.0,0.5,4.9,7.4,3.7,1.0
7044,Haferbar Flapjack Dattel Banane und Himbeere - Edeka - 60 ,0,b,1736.0,1.5,17.0,7.4,8.0,0.01
7045,ourmet knuspermusli - K-Favourites - 500,9,c,1972.0,5.8,17.0,7.4,11.0,0.45
7046,RED CURRY PASTE - Exotic Food - 50,8,c,636.0,1.6,5.0,7.4,3.1,14.4
7047,Shellinos - Brüen - 750 ,6,c,1647.0,0.8,22.9,7.4,10.6,0.48
7048,Dmbio Kokosmus - DM Bio,6,c,3059.0,66.0,3.6,7.4,6.0,0.001
7049,Cruncky Muesli - Nesquik - 410 ,6,c,1819.0,1.9,21.4,7.4,8.1,0.24
7050,Indisches Hähnchen Curry - Mai - 36 ,14,d,1414.0,0.5,26.7,7.4,8.8,10.4
7051,Erdnuss-Creme - ut & ünsti - 350 ,15,d,2577.0,9.2,8.4,7.4,23.8,0.82
7052,Old El Paso Stand 'N Stuff Taco Shells 10 Count - 133,14,d,2176.0,9.26,0.0,7.4,7.41,1.018
7053,Romy Oriinal - 200 ,21,e,2330.0,30.4,40.9,7.4,6.1,0.3
7054,Mork choklad - Marabou - 185,21,e,2225.0,19.0,53.0,7.4,5.1,0.01
7055,Spahetto - La Molisana - 500 ,-6,a,1477.0,0.3,3.3,7.5,15.0,0.08
7056,Blumenbrot Erdmandel schnittenbio - Ekibio - 150,-1,a,1653.0,1.5,6.2,7.5,6.8,0.5
7057,Yfood coffee - 500 ml,-8,a,414.0,0.9,4.4,7.5,6.7,0.11
7058,Falafels coeur houmous - Bjor - 150 ,-7,a,816.0,1.5,1.1,7.5,7.6,0.0
7059,Salted Caramel Cake - breyers - 251 /465 ml,-4,a,548.0,1.7,6.6,7.5,7.5,0.5
7060,"Weiße Bohnen - Alnatura - 330 , Abtropfewicht 240 ",-7,a,441.0,0.1,1.0,7.5,8.1,0.5
7061,Pasta Interali Wheat Fusilli No. 28 - La Molisana - 500 ,-6,a,1477.0,0.3,3.3,7.5,15.0,0.08
7062,Filinchen Vollkorn - 75,-5,a,1523.0,2.0,2.0,7.5,14.0,0.2
7063,da Horta Chick Peas - Compal - 260,-8,a,411.0,0.2,3.0,7.5,6.2,0.95
7064,Pois chiches - Anna la Bella - 240,-4,a,492.0,0.3,0.0,7.5,6.2,0.79
7065,Vollkornbrot - Bäckerei Haverland - 400 ,-2,a,933.0,0.4,2.2,7.5,9.5,1.5
