,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
0,Erdbeeren - olden Fruit - 530,-5,a,159.0,0.1,3.2,0.0,0.5,0.01
1,Bio Sojadrink - Milbona - 1L,-2,a,180.0,0.3,2.7,0.0,3.6,0.0
2,Hih Protein Puddin - Rewe beste Wahl - 200 ,-5,a,318.0,1.0,4.2,0.0,10.0,0.18
3,Pulpe de tomates - Nostia - 400,-5,a,88.0,0.1,2.7,0.0,0.7,0.02
4,Sauce tomate pour pizza - Mutti - 400,-2,a,151.0,0.1,4.2,0.0,1.6,0.75
5,Mandarin-Oranen - Edeka - 300 ,-4,a,197.0,0.1,8.5,0.0,0.8,0.05
6,Saskia Mineralwasser Classic - 0.5l,0,a,0.0,0.0,0.0,0.0,0.0,0.003
7,Naturalis Medium - 1.5 l,0,a,0.0,0.0,0.0,0.0,0.0,0.001
8,Wasser sanft - Artesia - 0.5 L,0,a,0.0,0.0,0.0,0.0,0.0,0.042
9,Œufs bio - Coop Naturaplan Bio - 6,-1,a,640.0,3.0,0.5,0.0,13.0,0.3
10,"Eau Cristaline - Cristalline - 1,5 L",0,a,0.0,0.0,0.0,0.0,0.0,0.028
11,Reine Buttermilch - Müller - 500 ,-2,a,162.0,0.4,4.2,0.0,3.4,0.12
12,Weizenmehl extra Type 405 - Diamant - 1k,-1,a,1435.0,0.1,0.7,0.0,10.0,0.01
13,Émincé de filets poulet - L’étal Du Volailler - 400,-4,a,448.0,0.7,0.0,0.0,23.0,0.1
14,rocholl Bratkartoffeln - rochou - 400,-2,a,402.0,0.5,1.0,0.0,2.3,0.8
15,Tomates Cerises Mutti - 400 ,-2,a,117.0,0.1,3.4,0.0,3.45,1.2
16,"Johurt mild 0,1% Fett - K-Classic - 500 ",-2,a,213.0,0.1,6.6,0.0,5.3,0.19
17,Reis - Uncle Ben's - 250,-1,a,653.0,0.2,0.0,0.0,3.7,0.02
18,Bertolli Olivenöl Extra Verine - 500 ml,-3,a,0.0,17.0,0.0,0.0,0.0,0.0
19,Mandarin Oranen - K-CLASSIC - 175,-2,a,285.0,0.1,15.0,0.0,0.5,0.0
20,Milch - ut & ünsti - 1l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
21,Lachs - Ocean Sea - 375,-2,a,858.0,1.7,0.0,0.0,20.0,0.2
22,"Haltbare Fettarme Milch 1,5% - K-Classic - 1l",-1,a,197.0,1.0,4.9,0.0,3.4,0.13
23,"Extaler Mineralquell - 1,25 l",0,a,0.0,0.0,0.0,0.0,0.0,0.003
24,"Mineral Quellen Naturell - Bad Liebenwerda - 0,5 l",0,a,0.0,0.0,0.0,0.0,0.0,0.002
25,"H-Milch 1,5% Fett Lactosefrei - Landfein - 1 l",-1,a,197.0,1.0,4.9,0.0,3.4,0.13
26,Milder Skyr Kirsche - Exquisa - 400,-4,a,305.0,0.1,7.0,0.0,9.7,0.1
27,H-Fettarme Milch - Schwälbchen - 1l,-1,a,197.0,1.0,4.9,0.0,3.4,0.0
28,Skyr craemi Erdbeere - Müller - 350 m,-3,a,289.0,0.0,8.2,0.0,7.6,0.14
29,Mano Püree - Diamond - 850,-3,a,301.0,0.2,13.0,0.0,0.5,0.01
30,Apfelmus - Sweet Valley - 710,-2,a,289.0,0.2,16.0,0.0,0.0,0.01
31,Speisequark - Penny - 100,-5,a,285.0,0.2,4.0,0.0,11.8,0.1
33,Maermilch Johurt - Optiwell - 500 ,-2,a,206.0,0.08,6.4,0.0,5.52,0.16
34,Speisequark - Ja - 500 ,-5,a,276.0,0.1,4.1,0.0,12.0,0.1
35,Johurt Mild - ja! - 500,-2,a,231.0,0.067,7.8,0.0,5.6,0.2
36,Entrahmte H-Milch - K-Classic - 1 l,-1,a,143.0,0.1,4.8,0.0,3.4,0.13
37,Frische fettarme Milch - Penny - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
38,milch - ,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
39,Speise Quark - Landfein - 500 ,-5,a,281.0,0.1,4.1,0.0,12.0,0.12
40,"Johurt mild 0,1% Fett - Weihenstephan - 500  ℮",-2,a,225.0,0.1,6.9,0.0,5.5,0.2
42,Mein Q Quarkcreme Protein Himbeere,-5,a,285.0,0.3,3.0,0.0,12.6,0.13
43,Haltbare fettarme Milch - Milbona - 1l,-1,a,195.0,1.0,4.8,0.0,3.4,0.13
44,Cannelloni - Cucina,-1,a,1481.0,0.2,3.0,0.0,12.0,0.01
45,Milch - K-Classic - 1l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
46,Wok Noodles - Natur companie - 250 ,-1,a,1477.0,0.5,3.0,0.0,12.0,0.0
47,Summer Fruits - reenyard - 1000,-4,a,230.0,0.0,6.6,0.0,1.2,0.01
48,Basmatireis - olden Sun - 1k,-1,a,1477.0,0.1,0.3,0.0,8.2,0.01
49,Maerquark - Alnatura - 500,-5,a,276.0,0.1,4.0,0.0,12.0,0.09
50,Panasius - Berida - 475,-5,a,312.0,1.0,0.0,0.0,14.0,0.2
51,"Speisequarkzubereitun, Demeter - Schrozberer Milchbauern",-5,a,251.0,0.2,3.9,0.0,9.7,0.18
52,Passata Rustica - Cucina - 690,-5,a,172.0,0.0,2.8,0.0,2.1,0.3
53,Spahetti tricolore - Italiamo - 500 ,-1,a,1464.0,0.3,3.28,0.0,12.5,0.0
55,Fruchtcocktail ezuckert - Freshona - 500,-3,a,268.0,0.1,13.2,0.0,0.3,0.02
56,Pulpe de tomates en morceaux - Mutti - 400,-5,a,105.0,0.1,2.8,0.0,1.2,0.1
57,Mandarin-Oranen - Edeka - 480,-2,a,251.0,0.0,13.8,0.0,0.4,0.01
58,Bio fettarmer Johurt mild - Söbbeke - 500 ,-2,a,267.0,1.0,6.0,0.0,5.4,0.18
59,Cerneaux de noix - Seeberer,-1,a,289.0,9.8,2.6,0.0,25.0,0.01
60,Lait Demi-écrémé Uht Lactel,-4,a,188.0,1.0,4.8,0.0,32.0,0.11
61,Fettarmer Johurt - Milfina - 500 ,-2,a,259.0,1.0,6.4,0.0,5.2,0.18
62,"Johurt mild 1,5% Fett - Alnatura - 150 ",-2,a,249.0,1.0,6.0,0.0,5.4,0.18
63,Mano Scheiben ezuckert - vitasia - 420 ,-3,a,247.0,0.0,13.4,0.0,0.5,0.05
64,Thon - Fjord Krone - 195,-4,a,494.0,0.1,0.0,0.0,26.0,0.178
65,Körnier Frischkäse - Cremisée,-2,a,297.0,0.3,1.6,0.0,15.2,0.9
66,Haltbare Landmilch - enerBiO - 1l,-1,a,201.0,1.0,5.0,0.0,3.5,0.12
67,Source Perrier eschmack Zitrone - Nestlé - 500ml,1,a,2.0,0.0,0.0,0.0,0.0,0.0
68,Coconut milk oriinal - Alpro - 1 l,-5,a,84.0,0.9,1.9,0.0,0.1,0.1
69,"Exquisa Fitline 0,2% - 200 ",-2,a,269.0,0.1,3.5,0.0,10.0,0.75
70,"Naturalis, still - 1.5l",0,a,0.0,0.0,0.0,0.0,0.0,0.064
71,Bioloische Halfvolle Melk - Jumbo - 1l,-1,a,192.0,1.0,4.6,0.0,3.4,0.1
72,Framboises - driscoll’s - 125,-6,a,222.0,0.1,2.0,0.0,2.0,0.0
73,"TIP - 1,5 l",0,a,0.0,0.0,0.0,0.0,0.0,0.012
74,Irish Low ow Fat Milk - Coolree - 1l,-1,a,188.0,0.9,4.7,0.0,3.4,0.1
75,Fettarmer Kefir mild - Müller - 500,-2,a,193.0,1.0,4.1,0.0,3.4,0.12
76,Frische fettarme Milch - BioBio - 1l,-1,a,197.0,0.9,4.9,0.0,3.4,0.13
77,2 Skinless and Boneless Wild Pink Salmon Fillets - Ocean Sea - 250 ,-4,a,400.0,0.5,0.0,0.0,21.0,0.2
78,Filet de colin - Ocean Sea - 950,-5,a,314.0,0.1,0.0,0.0,17.0,0.0
79,Uncle Ben's - Basmati-Reis - 125,-1,a,565.0,0.1,0.0,0.0,3.5,0.02
80,REWE Bio Apfel-Rhabarbermus - 360,-1,a,343.0,0.1,17.4,0.0,0.4,0.01
81,Ehrmann Hih Vitamin Johurt - 200,-7,a,184.0,0.9,3.0,0.0,4.4,0.1
82,Apfel & Mano Mark - Odenwald - 355,-2,a,335.0,0.1,17.9,0.0,0.3,0.01
83,Oeufs bio élevae en plein air - Miros Bio - 6,-1,a,650.0,3.0,0.5,0.0,13.0,0.3
84,Speisequark - Jeden Ta - 250 ramm,-2,a,410.0,2.9,3.6,0.0,11.0,0.1
85,Vöslauer Orene - 1 l,1,a,13.0,0.0,0.0,0.0,0.1,0.1
86,fettarme H-Milch laktosefrei - K-Free - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
87,Fettarmemilch - K-Classic - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
88,Kefir - Andechser - 500,-2,a,183.0,1.0,4.1,0.0,3.4,0.1
89,Apfelmus - Sweet valley - 710 ,-2,a,308.0,0.2,15.3,0.0,0.3,0.01
90,frische fettarme Milch - K-Free - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
91,Norweisches Lachsfilet - Sealuxe - 3 x 125 ,-1,a,824.0,3.0,0.0,0.0,20.0,0.15
92,"Irish Beef Hüftsteak - Purland - 0,181 ",-2,a,485.0,1.8,0.0,0.0,22.0,0.25
93,"Haltbare Alpenmilch 1,5% Fett - dm Bio - 1 l",-1,a,202.0,1.0,5.1,0.0,3.4,0.11
94,Milch / Lait 1.5% - K-Classic,-1,a,192.0,1.0,4.9,0.0,3.4,0.13
95,H Fettarme Milch 1. 5%fat - Dairystar - 1 l,-1,a,197.0,1.0,4.9,0.0,3.4,0.12
96,laktosefreie fettarme H-Milch - Lactowell - 1l,-1,a,197.0,1.0,4.8,0.0,3.4,0.13
97,Pazifische Schollenfilets - Landur - 225 ,-4,a,297.0,0.5,0.0,0.0,14.1,0.25
98,wildlachsfilets - Feme - 250 ,-4,a,420.0,0.5,0.0,0.0,19.7,0.13
99,Apfelmus - ja! - 710,-2,a,318.0,0.0,16.0,0.0,0.4,0.0
100,Mandarin Oranes In Liht Syrup - 61,-2,a,276.0,0.0,14.75,0.0,0.0,0.02
101,Schollenfilet - Berida - 225 ,-5,a,93.0,0.4,0.0,0.0,19.0,0.2
102,Erbsen und Möhren - artenkrone - 212ml,-4,a,184.0,0.1,2.7,0.0,2.8,0.55
103,"Artischockenherzen eschnitten, Mariniert (feinkos... - Dittmann - 200",-1,a,481.0,2.0,0.6,0.0,1.2,0.62
104,Skyr - Minus L - 400 ,-5,a,259.0,0.1,4.0,0.0,11.0,0.08
105,"Fettarmer Bio Johurt Mild 1, 8 %, Natur - Andechser natur",-1,a,243.0,1.0,5.8,0.0,4.7,0.173
106,"Landfein Haltbare fettarme Milch; 1,5% Fett - 1l",-1,a,197.0,1.0,4.9,0.0,3.4,0.13
107,Apollinaris Classic Mit Kohlensäure - 1 l,0,a,0.0,0.0,0.0,0.0,0.0,0.118
108,Fettarme H-milch - K classic,-1,a,197.0,1.0,4.9,0.0,3.4,0.13
109,Arla Protein Blaubeere,-4,a,301.0,0.1,6.5,0.0,10.1,0.15
110,Williams Christ Birnen - Harvin - 822,-3,a,259.0,0.0,13.2,0.0,0.2,0.0
111,Speisequark 20% Fett i. Tr. - Omira - 250 ,-2,a,427.0,3.0,4.3,0.0,11.0,0.1
113,Skyr Pur - K-Classic - 500,-5,a,268.0,0.1,4.0,0.0,11.0,0.07
114,"Mandarin-Oranen eschält, leicht ezuckert - K-Classic - 312 ",-2,a,289.0,0.1,15.0,0.0,0.5,0.0
115,Sauce tomate aux leumes - LaSelva,-3,a,117.0,0.1,3.5,0.0,1.1,0.66
116,Buchweizenmehl / Farine de Sarrasin - Küchenmeister - 500 ,-1,a,1498.0,0.5,0.5,0.0,10.0,0.01
117,All I Want - Danone - 145 ,-5,a,211.0,0.1,3.4,0.0,8.7,0.0
120,Hih Protein Shot - Ehrmann - 250 ml,-3,a,218.0,0.1,4.8,0.0,8.0,0.11
121,Haltbare Fettarme Milch - K-Classic - 1 l,-1,a,198.0,1.0,4.9,0.0,3.5,0.12
122,EAA Blood Orane - CROSSVITAL - 500,-1,a,1220.0,0.833,0.833,0.0,56.7,0.3
123,EAA reen Apple - CROSSVITAL - 500,-1,a,1260.0,0.833,0.833,0.0,56.7,0.3
124,EAA Lemon & Lime - CROSSVITAL - 500,-1,a,1220.0,0.833,0.833,0.0,56.7,0.3
125,Fromae Frais Nature Issu de l'Ariculture Bioloique - Auchan Bio - 360  (6 * 60 ) e,-2,a,356.0,2.2,3.5,0.0,9.6,0.1
126,Mineralwasser Medium - aensefurther - 1 l,0,a,0.0,0.0,0.0,0.0,0.0,0.018
127,"Deit - 0,75ml",-5,a,13.0,0.2,0.5,0.0,0.2,0.01
128,Frische Brise -  - 1 Liter,0,a,0.0,0.0,0.0,0.0,0.0,0.058
129,"Kastell medium weni Kohlensäure - 0,5 l",0,a,0.0,0.0,0.0,0.0,0.0,0.002
130,Speisequark Maerstufe - BUBI - 500,-5,a,285.0,0.2,4.0,0.0,11.8,0.1
131,Karotten mit Kartoffeln & Bio-Rind - HiPP - 190 ,-3,a,243.0,0.6,2.4,0.0,2.1,0.08
132,Schinkennudeln mit Tomaten und Karotten ( Ab 6. Monat ) - Hipp - 190 ,-2,a,276.0,0.8,2.4,0.0,2.8,0.05
133,Champinons - Aldi,-6,a,67.0,0.0,0.0,0.0,2.0,0.0
134,"Maermilch Johurt 0,1% - Optiwell - 500",-2,a,272.0,0.1,9.1,0.0,6.9,0.12
135,Thunfisch - Filets in eienem Saft - Berida - 185 ,-2,a,435.0,0.2,0.0,0.0,23.0,0.5
136,passierte Tomaten - mondo italiano - 750,-5,a,121.0,0.0,2.9,0.0,1.2,0.01
137,Reine Butter Milch - Landfein - 500 ,-2,a,155.0,0.4,4.0,0.0,3.3,0.12
138,"Quark Traum Natur 0,2% Fett - Milbona - 500 ",-5,a,215.0,0.1,3.7,0.0,8.5,0.1
140,"Wittmannsthaler Quelle - 0,7l",0,a,0.0,0.0,0.0,0.0,0.0,0.095
141,Polpa Di Pomodoro - Mutti - 210,-4,a,109.0,0.1,2.8,0.0,1.2,0.31
142,Frische fettarme Milch (Bio) - Upländer Bauernmolkerei - 1 l,-1,a,197.0,1.04,4.9,0.0,3.5,0.12
143,"Lachsfilet, tiefefroren - K-Bio - 200 ",-1,a,824.0,2.8,0.0,0.0,18.0,0.13
144,Pro Deliht Wild Mano 480 ml,-3,a,141.0,1.7,8.9,0.0,13.8,0.1
145,Pro Deliht Banana Ban 500 ml,-2,a,149.0,1.7,13.0,0.0,12.5,0.08
146,Pazifische Schollenfilets - ut & ünsti -  250 ,-4,a,299.0,0.5,0.0,0.0,14.1,0.254
147,fettarmer Johurt mild - Landfein - 500 ,-2,a,263.0,1.0,6.4,0.0,5.2,0.18
148,ja! Reine Buttermilch - 500,-2,a,155.0,0.4,4.0,0.0,3.4,0.14
149,Victorio-Seebarsch Filets - Landur - 225 ,-5,a,332.0,0.6,0.0,0.0,16.9,0.1
150,"Frische Milch 1,5% Bio - K-Bio - 1 l",-1,a,197.0,1.0,4.9,0.0,3.4,0.13
151,Frische BIO-Vollmilch - Unsere Heimat - 1l,1,b,286.0,2.5,4.8,0.0,3.4,0.12
152,"Herzut Johurt 3,5 - 500 ",0,b,264.0,2.3,3.5,0.0,4.3,0.18
153,Red Bull suar free - 250 ml,1,b,13.0,0.0,0.0,0.0,0.0,0.1
154,Coca-Cola Zero - The Coca-Cola company - 330 ml,1,b,0.9,0.0,0.0,0.0,0.0,0.02
155,Brechbohnen sehr fein - Edeka - 330,2,b,96.0,0.0,0.7,0.0,1.5,0.5
156,Ricola Zitronenmelisse - 75 ,2,b,990.0,0.0,0.0,0.0,0.0,0.0
157,Dhal-Couscous - Indian Taste - Natur Companie - 68 ,2,b,346.0,0.1,2.7,0.0,3.8,0.8
158,"Oranenlimonade mit Süßunsmitteln - Markrafen - 0,7 l",1,b,9.0,0.0,0.0,0.0,0.0,0.02
159,Enriched lon rain white rice - Essential everyday - 4.53k,0,b,1490.0,0.0,0.0,0.0,6.67,0.0
160,Surimi Sticks - Coraya - 100 ,2,b,468.0,0.3,2.3,0.0,8.2,1.5
161,Mediterraner Pfirsich - Teekanne - 20pcs,0,b,8.0,0.1,0.2,0.0,0.2,0.01
162,Oat no suars - Provamel - 1l,0,b,142.0,0.2,0.0,0.0,0.2,0.08
163,Frische Voll Milch - Alnatura - 1 l,1,b,280.0,2.6,4.8,0.0,3.4,0.12
164,Afri Cola,1,b,1.0,0.0,0.0,0.0,0.0,0.008
165,Yaourt sucré à la cerise - Landfein - 1 k,1,b,285.0,1.8,7.93,0.0,2.4,0.107
166,Coca-Cola Liht - 330 ml,1,b,0.8,0.0,0.0,0.0,0.0,0.02
167,Backofenfisch Knuspri Kross - Frosta - 240 ,2,b,728.0,0.9,0.7,0.0,13.0,1.23
168,Soja ranulat Bio - ut Bio - 200,1,b,1418.0,1.5,6.0,0.0,55.0,0.01
169,Schweineschnitzel Wiener Art - ut & ünsti - 750 ,1,b,930.0,1.4,1.7,0.0,16.0,0.86
170,Dinkel Porride Cranberry-Sauerkirsche - Knusperone - 325,1,b,531.0,0.1,7.1,0.0,3.1,0.1
171,oldfit Apfel Schorle - 0.5l,-2,b,113.0,0.0,6.0,0.0,0.0,0.0
172,H Milch - kaufland classic - 1 L.,1,b,268.0,2.3,4.8,0.0,3.3,0.13
173,Frische Berbauernmilch - utes Land - 1 l,1,b,280.0,2.4,4.8,0.0,3.4,0.13
174,Smile Plus - Jetum - 70,0,b,1.0,0.0,0.0,0.0,0.0,0.0
175,Baktat - 1k,1,b,1469.0,0.2,0.7,0.0,6.1,0.0
176,"Müllermilch, Banane - Muller - 400 ml",1,b,312.0,0.9,11.4,0.0,3.1,0.12
177,Sandwich Vollkorn Toast - ut & ünsti - 750,2,b,1014.0,0.3,3.2,0.0,8.6,1.0
178,Obstfarten XL-enuss Zitronen - Ehrmann - 220 ,2,b,414.0,1.8,13.0,0.0,4.4,0.1
179,Coca Cola Zero Six Pack 33cl - 330ml,1,b,0.9,0.0,0.0,0.0,0.0,0.02
180,"Rote Früchte Direktsaft Schorle - Lütts Landlust - 0,33 L",1,b,121.0,0.0,6.9,0.0,0.063,0.002
181,Zitronen-Limetten-eschmack - Sodastream - 500 ml,1,b,4.0,0.0,0.0,0.0,0.0,0.03
182,Johurt mit der Ecke Knusper Oriinal - Müller - 150,1,b,462.0,2.7,6.8,0.0,4.9,0.16
183,Frische Bio Vollmilch - Bio Sonne - 1l,1,b,285.0,2.6,4.8,0.0,3.4,0.13
184,Fischstäbchen - Ja! - 450 ,0,b,795.0,0.8,0.8,0.0,13.0,0.83
185,Thunfisch naturale - ohne Öl - Saupiquet - 140,0,b,96.5,0.2,0.0,0.0,23.0,1.27
186,Alpenzwer Bioschokomilch - Berchtesadener Land - 236ml,1,b,301.0,1.1,9.4,0.0,3.4,0.11
187,Bebida de coco sin azucares - Alpro - 1l,1,b,59.0,1.1,0.0,0.0,0.1,0.07
188,SodaStream Kirsch-eschmack - 375 mL,1,b,59.0,0.0,3.3,0.0,0.0,0.33
189,"Vanilla zero suar - Coca Cola - 0,5 L",1,b,1.0,0.0,0.0,0.0,0.0,0.01
190,Körnier Frischkäse - K-Classic - 200 ,1,b,385.0,2.6,1.0,0.0,13.0,0.7
191,"Ja! Rewe, Apfel Schorle - 500 ml",1,b,109.0,0.0,5.9,0.0,0.0,0.02
193,"Mio Mio Mate Zero - Mio Mio mbH - 0,5 l",1,b,8.0,0.0,0.0,0.0,0.0,0.03
194,Beauty Sweeties Häschen - 125 ,2,b,941.0,0.0,0.1,0.0,0.0,0.0
195,Cornichons - ut & ünsti - 190 ,1,b,192.0,0.1,6.9,0.0,1.7,1.4
196,Speisequark mit Sahne - Tip - 250 ,2,b,594.0,6.7,3.5,0.0,9.3,0.0
197,Soupe de poissons lanoustines spécialité de Bretane - Saveurs de nos réions - 950ml,0,b,126.0,0.4,0.5,0.0,4.9,0.87
198,Coconut water - innocent - 1 l,-4,b,80.0,0.0,3.4,0.0,0.1,0.04
199,Tyryski pałeczki kukurydziane - Nasze tyryski - 60 ,0,b,1588.0,0.2,1.2,0.0,7.3,0.01
200,White rice flour - Cock - 400,0,b,1435.0,0.0,0.0,0.0,6.8,0.02
201,"Eistee - ut & ünsti - 1,5L",1,b,8.0,0.4,0.0,0.0,0.4,0.07
202,"Pepsi liht - 1,5 l",1,b,1.0,0.0,0.0,0.0,0.1,0.02
203,"StarDrink Cola liht - 1,5l",1,b,1.0,0.0,0.0,0.0,0.1,0.02
204,Porthos Tuna in Oil - 125,0,b,780.0,2.0,0.0,0.0,22.5,0.508
205,"Sunshine fruit Caise moi - 250 ,",2,b,824.0,0.2,28.1,0.0,1.9,0.0
206,pomidory bez skóry krojone - freshona - 400 ,2,b,155.0,0.2,4.0,0.0,1.6,0.5
207,"Tuon ot sriracha, sriracha chili sauce - Cock Brand - 740 ml",0,b,0.0,0.0,0.0,0.0,0.0,0.19
208,Rinderhack Liht - Landjunker - 400  e,0,b,673.0,4.0,0.0,0.0,20.0,0.15
209,H-Vollmilch - Kaufland - 1 L,1,b,269.0,2.3,4.7,0.0,3.5,0.13
210,"Österreichische Vollmilch, haltbar 3,5% Fett - Nöm - 1l",1,b,266.0,2.1,4.7,0.0,3.3,0.102
211,Cola mix - Star Drink - 1.5 l,1,b,1.0,0.0,0.0,0.0,0.0,0.01
212,Halsbonbons extra stark - Vivil - 80,2,b,996.0,0.0,0.1,0.0,0.1,0.0
213,Vollkorn-Tortelloni Käse und Spinat - Pasta Nuova - 250 ,1,b,1074.0,0.9,1.2,0.0,10.5,0.83
214,Zitronenmelisse - Ricola - 50  e,2,b,983.0,0.0,0.0,0.0,0.0,0.0
215,Bio-Jourt Mild - andechser natur - 500 ,1,b,305.0,2.4,5.3,0.0,4.3,0.15
216,"Sprite Zero, Zitrone - Coca-Cola - 1l",1,b,4.0,0.0,0.0,0.0,0.0,0.02
217,Vivil Extra Stark Halsbonbons Ohne Zucker - 100 ,2,b,996.0,0.0,0.1,0.0,0.1,0.0
218,Frische Bio-Vollmilch - Bio Sonne - 1 l,1,b,278.0,2.5,4.8,0.0,3.3,0.13
219,"Johurt 3,8% Fett - Omira - 1000 ",1,b,317.0,2.5,6.3,0.0,4.1,0.13
220,Körnier Frischkäse - K-Classic - 200,0,b,439.0,2.9,3.0,0.0,13.0,0.6
221,Frische Berbauern Milch - Berchtesadener Land - 1 l,1,b,275.0,2.4,5.0,0.0,3.3,0.11
222,Zitrone0% Zucker Kopie - River - 1.5l,1,b,8.0,0.0,0.0,0.0,0.0,0.02
223,"Life savers, suar free hard candy, cherry, raspberry, watermelon, orane, pineapple - Lifesavers - 78",2,b,837.0,0.0,0.0,0.0,0.0,0.0
224,Queso fresco ranulado - Milbona - 200 ,0,b,410.0,3.0,2.8,0.0,11.5,0.53
225,Moskauer urken - Teut…,1,b,121.0,0.1,4.1,0.0,0.9,1.5
226,solevita saft - 330,1,b,92.0,0.1,4.8,0.0,0.2,0.01
227,Poêlée Asiatique - reen rocer's - 750  ℮,2,b,230.0,1.7,3.6,0.0,2.0,1.0
228,Hummus & Muhammara - Feinkost Popp - 175,2,b,695.0,1.2,3.7,0.0,5.0,1.64
229,ustSizilianische Datteltomatensauce - ustihus - 320,2,b,205.0,0.2,6.1,0.0,1.7,0.55
230,Sodapop Himbeer - Mysodapop - 500 ml,0,b,4.0,0.1,0.5,0.0,0.5,0.01
231,Arborio Risotto Rice - Italiamo - 1k,0,b,1504.0,0.1,0.2,0.0,6.7,0.01
232,"Mentos Pure Fresh, Fresh Mint mit rünem Tee - 70 ",2,b,753.0,0.0,0.0,0.0,0.0,0.0
233,Bio Zitronen Würze - Natur ut - 200 ml,-7,b,88.0,0.0,0.0,0.0,0.0,0.0
234,Landliebe Milch Vanille - 237 ml,1,b,301.0,1.3,9.9,0.0,3.5,0.13
235,Riz de Camarue lon blanc - Saveurs de nos Réions - 500 ,0,b,1464.0,0.2,0.0,0.0,6.9,0.01
236,oldessa Soft Cheese Liht** - Milbona - 200 ,1,b,418.0,2.6,3.3,0.0,12.0,0.8
237,Pepsi Max Cherry - 2 l,1,b,3.0,0.0,0.0,0.0,0.0,0.0
238,Haltbare Voll-Milch - K-Classic - 1 l,1,b,268.0,2.3,4.7,0.0,3.5,0.13
239,Drink UHT - Valflora - 1l,0,b,240.0,1.7,5.0,0.0,3.4,0.1
240,Rheinfels Quelle Lemon - 750ml,1,b,3.0,0.0,0.0,0.0,0.0,0.06
241,Sojade Soja Spezialität Heidelbeere - 400,1,b,339.0,0.3,11.1,0.0,3.8,0.1
242,Lait de chèvre bio - Andechser Natur,1,b,247.0,2.1,4.4,0.0,3.1,0.2
243,Whole milk - ossner Foods Inc - 946ml,0,b,268.0,1.91,5.08,0.0,3.39,0.11
244,Kidney Bohnen - reenoranics - 330,0,b,381.0,0.0,0.0,0.0,7.5,0.7
245,"Dm bio Haltbare Alpenmilch 3,5% - 1 l",1,b,276.0,2.4,5.0,0.0,3.4,0.11
246,Punica Multivitamin 17+4 - 1.25l,-5,b,63.6,0.0,3.0,0.0,0.12,0.012
247,Bebida de arroz-coco - Provamel - 1 L,1,b,255.0,0.8,7.7,0.0,0.2,0.13
249,Spritessi - Esina - 750 ml,0,b,155.0,0.0,0.0,0.0,1.2,0.0
250,Stir-fry rice noodles - Thai kitchen - 396,0,b,1494.0,0.0,1.79,0.0,7.14,0.09
251,Tonno al Naturale - RIO mare - 80,1,b,406.0,0.2,0.0,0.0,23.0,1.3
252,Sanostol - Dr. Kade Pharma - 1 EL,0,b,42.0,0.0,0.0,0.0,0.0,0.0
253,Bayerische ewürzurken - Specht - 360 ,1,b,102.0,0.1,4.3,0.0,0.4,1.4
254,Atemfrei - Wick - 72,2,b,975.0,0.0,0.0,0.0,0.0,0.0
255,Alpenkräuterlimonade - Almdudler - 1 l,1,b,4.0,0.0,0.0,0.0,0.0,0.1
256,"Insalatissime , thon  avec leumes et couscous - RIO Mare - 160 ",2,b,996.0,2.0,1.5,0.0,10.0,1.0
257,"Johurt mild, 3,5% Fett - Landfein - 600 ",1,b,282.0,2.4,4.6,0.0,3.9,0.15
258,"Johurt mild 3,5% fett - K-Classic - 500 ",1,b,288.0,2.4,4.8,0.0,4.0,0.144
259,Coca-Cola Zero Suar - 1.25l,1,b,0.92,0.0,0.0,0.0,0.0,0.02
260,"Jesuiten Quelle Apfelsaftschorle - 0,5 l",0,b,88.0,0.01,5.2,0.0,0.05,0.002
261,Xylit - Dr. roß - 500,2,b,1004.0,0.0,0.0,0.0,0.0,0.0
262,Haltbare Vollmilch - K-Classic,1,b,272.0,2.4,4.8,0.0,3.4,0.12
263,Jus de pastèque et fraise - oldhorn - 1l,-3,b,75.0,0.1,2.9,0.0,0.8,0.6
264,Speisequark 40% Fett i. Tr. - K-Bio - 250 ,2,b,577.0,6.6,3.2,0.0,9.0,0.1
265,"lashäer Classic - 1,0 l",0,b,0.0,0.0,0.0,0.0,0.0,0.03
266,Vanillemilch - Kohrener Landmolkerei - 500ml,1,b,276.0,0.9,10.4,0.0,3.1,0.09
267,Körnier Frischkäse - K-Classic - 200,0,b,439.0,2.9,3.0,0.0,13.0,0.6
269,Apfelrotkohl - artenkrone - 400 ,2,b,255.0,0.1,11.2,0.0,1.1,1.3
270,"Adelholzener Lemon - 0,75 l",1,b,1.0,0.0,0.0,0.0,0.0,0.0
271,Hustenbonbons - Wick - 72 ,2,b,967.0,0.0,0.5,0.0,0.0,0.0
272,Boisson Amande Calcium - Ecomil - 1 l,1,b,171.0,0.2,3.8,0.0,0.9,0.25
